Country,Average temperature per year,Population,Daily tests,Cases,Deaths,Percent Cases,Percent Deaths
Mauritania,29,4420184,23429.0,2471645.0,59254.0,55.92,1.34
Senegal,29,15850567,391577.0,4373415.0,92481.0,27.59,0.58
United Arab Emirates,29,9400145,30254113.0,39861726.0,151549.0,424.05,1.61
Sri Lanka,28,21444000,2079872.0,5877733.0,28446.0,27.41,0.13
Qatar,28,2639211,1468729.0,35493861.0,56071.0,1344.87,2.12
Oman,28,4636262,200640.0,26984683.0,264562.0,582.04,5.71
Nigeria,28,190886311,702055.0,18705705.0,306223.0,9.8,0.16
Jamaica,27,2890299,130117.0,2130134.0,44318.0,73.7,1.53
Saudi Arabia,27,32938213,13554439.0,86586946.0,1245563.0,262.88,3.78
Thailand,27,69037513,2681565.0,2034146.0,20002.0,2.95,0.03
Togo,27,7797694,233786.0,680544.0,13285.0,8.73,0.17
Trinidad and Tobago,27,1369125,92183.0,1138218.0,20979.0,83.13,1.53
Panama,27,4098587,1881379.0,41091974.0,754355.0,1002.59,18.41
Ghana,27,28833629,716169.0,12607976.0,78701.0,43.73,0.27
Bahrain,27,1492584,2572783.0,19117446.0,69819.0,1280.83,4.68
Philippines,27,104918090,8162079.0,84405264.0,1678408.0,80.45,1.6
Kuwait,27,4136528,1537536.0,30710497.0,189887.0,742.42,4.59
Malaysia,26,31624264,5931601.0,18580121.0,95130.0,58.75,0.3
Costa Rica,26,4905769,561653.0,25784581.0,325780.0,525.6,6.64
Cuba,26,11484636,2337041.0,2843541.0,39486.0,24.76,0.34
Indonesia,26,263991379,5688602.0,122650013.0,3881232.0,46.46,1.47
Dominican Republic,26,10766998,634342.0,33522136.0,539059.0,311.34,5.01
India,25,1339180127,204644073.0,1717153550.0,26247654.0,128.22,1.96
Fiji,25,905502,23998.0,10886.0,399.0,1.2,0.04
El Salvador,25,6377853,496946.0,8580384.0,247813.0,134.53,3.89
Colombia,25,49065615,10939036.0,275073370.0,7695136.0,560.62,15.68
Bangladesh,25,164669751,4000307.0,100266545.0,1444745.0,60.89,0.88
Myanmar,25,53370609,2407793.0,14882072.0,328486.0,27.88,0.62
Vietnam,25,95540800,333691.0,329208.0,6973.0,0.34,0.01
Algeria,25,41318142,3100.0,16892357.0,547843.0,40.88,1.33
Libya,24,6374616,590269.0,14544121.0,220601.0,228.16,3.46
Ethiopia,24,104957438,2113808.0,21025388.0,325103.0,20.03,0.31
Iraq,24,38274618,5111254.0,101678063.0,2393726.0,265.65,6.25
Cape Verde,24,546388,98345.0,2033114.0,20055.0,372.1,3.67
Uganda,24,42862958,544668.0,4270321.0,35405.0,9.96,0.08
Guatemala,24,16913503,870737.0,25790619.0,919247.0,152.49,5.43
Kenya,24,49699862,571950.0,14837701.0,262445.0,29.85,0.53
Mozambique,23,29668834,407114.0,3868782.0,34858.0,13.04,0.12
Paraguay,22,6811297,740683.0,16012701.0,329837.0,235.09,4.84
Pakistan,22,197015955,8464881.0,98566129.0,2066115.0,50.03,1.05
Madagascar,22,25570895,28934.0,3835585.0,52816.0,15.0,0.21
Ecuador,22,16624858,912262.0,42843518.0,2937940.0,257.71,17.67
Mexico,22,129163276,4947309.0,255352556.0,24247963.0,197.7,18.77
Australia,22,24598933,9336541.0,6789426.0,186575.0,27.6,0.76
Israel,21,8712400,12853090.0,78507858.0,613338.0,901.1,7.04
